Abbreviated source title,Abstract,Abstract type,Access type,Accession number,Article number,Author,Author affiliation,CODEN,Classification code,Conference code,Conference date,Conference location,Conference name,Controlled/Subject terms,Copyright,Corresponding author,DOI,Data Provider,Database,Document type,E-ISSN,Funding details,Funding text,ISBN13,ISSN,Issue,Issue date,Language,Main heading,Monograph title,Number of references,Pages,Part number,Publication year,Publisher,Source,Sponsor,Title,Title of translation,Uncontrolled terms,Volume,Volume title
Acta Geophys. Sin.,"Tengchong Volcano Area (24°40'-25°30'N, 98°15'-98°45'E) is one of the most famous and youngest volcano-active areas in China. It is located on the northeast side of the collision belt between the Indian and Euroasian plates. It is a part of Myanmar Arc seismic structure, belonging to the Himalayan strong-earthquake belt. There are 68 volcanoes distributed in the region of 90 km long in the north-south direction and 50 km wide in the east-west direction. Among them are 4 Holocene (Q4) volcanoes, 18 Late-Pleistocene (Q3) volcanoes, and 38 Early-Pleistocene (Q1) volcanoes. To study the geologic evolution and volcanic activity of the Tengchong Volcano Area, we need to investigate the variation of crustal thickness and the distribution of the Poisson's ratio in the area, as well as the detailed thickness and topography of the lithosphere. We use the seismic data observed by 9 digital broadband stations of Tengchong Earthquake-Monitoring Net from July 2007 through December 2011. The P receiver functions are used to study the crustal thickness and the Poisson's ratio in the region, while the converted phases at the Moho and the LAB in the S receiver functions are utilized to get the depths of the Moho and the LAB. To reduce the noises and remove the effect of the heterogeneity, we stack the P and S receiver functions beneath each station, respectively, to get an averaged trace of P receiver functions and an average trace of S receiver functions. Before the stacking of the weak converted phases from the Moho and the LAB, each seismic event is moveout corrected to the reference epicentral distance of 67 degree (corresponding to the ray parameter of 6.40 s/deg). Based on the IAS91 model, the receiver functions are transformed from the time domain to the depth domain. 1) The crustal thickness of Tengchong Volcanic Area ranges from 33.5 to 38.0 km. 2) The Poisson's ratio of the area mainly varies from 0.26 to 0.32. The ratio beneath 6 stations is over 0.29, which is attributed to the increase of mafic component in the crust. There may exist two magma chambers. 3) The thickness of the lithosphere ranges from 78.2 to 88.0 km. The crustal thickness of Tengchong Volcanic Area ranges from 33.5 to 38.0 km, with a feature of being thick at the north and south ends but thin in the middle (or the Moho is uplifted in the middle part). The Poisson's ratio is between 0.262 and 0.322. Six stations present high Poisson's ratio, and the crust may be partially melted in some local areas. There probably exist two magma chambers on the east side of Mazhang and the area of Tengchong-Shaba, but their scopes need further determination. The thickness of the lithosphere ranges from 78.2 to 88.0 km, being thinner than that of the surrounding area. In the center of the volcano area (i.e., the convergence between the Tengchong volcanic fault and the Yingjiang-Longchuan fault), both the crust and the lithosphere are uplifted. The lithosphere presents a dome shape obviously, caused by the extension and thinning of the lithosphere by the upwelling of the asthenosphere (or the uplift of mantle hot materials). ©, 2015, Science Press. All right reserved.",,,20152701003540,,"Zhang, Long (1); Hu, Yi-Li (1); Qin, Min (2); Duan, Yi (2); Duan, Yuan-Ze (3); Peng, Heng-Chu (1); Zhao, Hong (1) ","(1) Geophysics Department of Yunnan University, Kunming; 650091, China (2) Seismological Bureau of Yunnan Province, Kunming; 650041, China (3) Seismological Bureau of Puer, Puer; Yunnan; 665000, China ",,481.1 Geology - 484 Seismology - 484.1 Earthquake Measurements and Analysis - 922.1 Probability Theory - 951 Materials Science,,,,,Earthquakes - Faulting - Poisson distribution - Poisson ratio - Volcanoes,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Hu, Yi-Li(ylhu929@163.com) ",10.6038/cjg20150514,Engineering Village,Compendex,Journal article (JA),,,,,00015733,5,"May 1, 2015",Chinese,Structural geology,,44.0,1622-1633,,2015,Science Press,Acta Geophysica Sinica,,Study on crustal and lithosphere thicknesses of Tengchong volcanic area in Yunnan,,Crustal thickness - Earthquake monitoring - Epicentral distances - Lithosphere thickness - Receiver functions - S-receiver functions - Strong earthquakes - Volcanic activities,58,
Catal. Commun.,"A symmetric trinuclear ruthenium complex with [Ru(tpy)(bpy)(Cl)]+(tpy = 2,2′:6′,2″-terpyridine; bpy = 2,2′-bipyridine) connected by 2,4,5-trimethylbenzene was easily prepared. The complex showed effective chemical water oxidation and light-driven oxidation activity of alcohols to corresponding aldehydes in water. When Cl-is replaced by H2O, the resulting complex exhibited over a twofold increase in O2evolution activity compared with its parent complex. Moreover, compared with equimolar ruthenium amounts of the mononuclear complex with the H2O ligand, the trinuclear ruthenium complex with the conjugated ligand motif also displayed a two time increase in water oxidation activity. © 2015 Published by Elsevier B.V.",,,20152000849434,,"Zeng, Ling-Zhen (1); Wang, Chuan-Jun (2); Li, Ting-Ting (2); Gan, Xin (1); Li, Cong (1); Fu, Wen-Fu (1, 2) ","(1) College of Chemistry and Engineering, Yunnan Normal University, Kunming; 650092, China (2) Key Laboratory of Photochemical Conversion and Optoelectronic Materials, Technical Institute of Physics and Chemistry, Chinese Academy of Sciences, Beijing; 100190, China ",CCAOAC,547.1 Precious Metals - 801.4 Physical Chemistry - 802.2 Chemical Reactions,,,,,Ligands - Oxidation - Ruthenium,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Fu, Wen-Fu(fuwf@mail.ipc.ac.cn) ",10.1016/j.catcom.2015.05.005,Engineering Village,Compendex,Journal article (JA),,"Number: 2013CB834804, Acronym: -, Sponsor: -; Number: 2012DFH40090, Acronym: MOST, Sponsor: Ministry of Science and Technology; Number: 21367026, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: U1137606, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21267025, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21273257, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was financially supported by the National Key Basic Research Program of China (973 Program 2013CB834804 ) and the Ministry of Science and Technology ( 2012DFH40090 ). We thank the National Natural Science Foundation of China ( 21267025 , 21273257 , 21367026 and U1137606 ). Appendix A",,15667367,,"May 5, 2015",English,Ruthenium compounds,,26.0,84-87,,2015,Elsevier B.V.,Catalysis Communications,,"New trinuclear dendritic complexes with [Ru(tpy)(bpy)X]n +(X = Cl, H2O; N = 1, 2) for enhanced water oxidation and light-driven alcohol oxidation",,Alcohol oxidation - Conjugated ligands - Dendritic ligands - Mononuclear complexes - Oxidation activities - Ruthenium complexes - Trinuclear complex - Water oxidation,68,
Proc SPIE Int Soc Opt Eng,"The performance of vector graphics render has always been one of the key elements in mobile devices and the most important step to improve the performance is to enhance the efficiency of polygon fill algorithms. In this paper, we proposed a new and more efficient polygon fill algorithm based on the scan line algorithm and Grid Fill Algorithm (GFA). First, we elaborated the GFA through solid fill. Second, we described the techniques for implementing antialiasing and self-intersection polygon fill with GFA. Then, we discussed the implementation of GFA based on the gradient fill. Generally, compared to other fill algorithms, GFA has better performance and achieves faster fill speed, which is specifically consistent with the inherent characteristics of mobile devices. Experimental results show that better fill effects can be achieved by using GFA. © 2015 SPIE.",,,20160801967245,98750Y,"Zhang, Jixian (1); Yue, Kun (1); Yuan, Guowu (1); Zhang, Binbin (1) ","(1) Department of Computer Science and Engineering, School of Information Science and Engineering, Yunnan University, Kunming; 650091, China ",PSISDG,"716 Telecommunication; Radar, Radio and Television - 723.2 Data Processing and Image Processing - 723.5 Computer Applications - 812.3 Glass - 921 Mathematics",118333.0,"November 19, 2015 - November 21, 2015","Barcelona, Spain","8th International Conference on Machine Vision, ICMV 2015",Computer vision - Geometry - Glass forming machines - Mobile devices,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1117/12.2228406,Engineering Village,Compendex,Conference article (CA),1996756X,,,9781510601161.0,0277786X,,2015,English,Rendering (computer graphics),"Eighth International Conference on Machine Vision, ICMV 2015",7.0,,1of1,2015,SPIE,Proceedings of SPIE - The International Society for Optical Engineering,,Grid fill algorithm for vector graphics render on mobile devices,,Fill effect - Grid Fill Algorithm (GFA) - Inherent characteristics - Key elements - Linear gradients - Radial gradient - Self-intersections - Vector graphics,9875,
Adv. Energ. Sci. Equip. Eng. - Proc. Int. Conf. Energ. Equip. Sci. Eng.,"The experiment on combustion characteristics of Xiaolongtan brown coal was carried out by a simultaneous thermal analyzer. It was the different heating rate (5, 10, 20 K/min) under the mixed O2/CO2atmospheres that made the experiment feasible. The combustion parameters and kinetic parameters of the Xiaolongtan brown coals are determined based on experimental results. The results showed that: the TG and DTG curves of coal would move to a lower temperature area, the ignition and combustion temperature would be higher, the burning time would be longer. Both the flammability index and composite combustion characteristic parameters would increase while the heating rate was increasing. In addition, the activity energy changed with the variation of the heating rate, and there was an upward trend of the frequency factor of the Xiaolongtan brown coal. © 2015 Taylor & Francis Group, London.",,,20160902044477,,"Zhang, Jing Yi (1); Yang, Shu Ping (1); Qing, Shan (1); Zhang, Ai Min (1) ","(1) State Key Laboratory of Complex Nonferrous Metal Resources Clean Utilization, Kunming University of Science and Technology, Kunming; Yunnan, China ",,521.1 Fuel Combustion - 524 Solid Fuels - 641.2 Heat Transfer - 801 Chemistry - 804 Chemical Products Generally,,,,,Heating - Heating rate - Ignition - Lignite - Oxygen - Thermoanalysis,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,,Engineering Village,Compendex,Conference article (CA),,,,9781138029330.0,,,2015,English,Coal combustion,"Advances in Energy Science and Equipment Engineering - Proceedings of International Conference on Energy Equipment Science and Engineering, ICEESE 2015",8.0,215-218,1 of 1,2015,CRC Press/Balkema,"Advances in Energy Science and Equipment Engineering - Proceedings of International Conference on Energy Equipment Science and Engineering, ICEESE 2015",,The effect of heating rate to coal combustion index under oxygen-rich condition,,Combustion characteristics - Combustion indices - Combustion parameters - Combustion temperatures - Frequency factors - Lower temperatures - Oxygen-rich conditions - Thermal analyzers,1,
"Proc. Chin. Control Decis. Conf., CCDC","At present, cloud computing technology is widely used in IOT(Internet of Things) service and real-time embedded industrial control system energy consumption, problem in the cloud computing has always been the hot topic of industry and academic research. This paper analyzes the energy consumption of each equipment under the dormancy mechanism in the cloud computing environment. Meanwhile, this paper introduces the ant colony algorithm into a basic network energy consumption model, thereby building a new model for the energy consumption optimization. The simulation experiments were implemented on a cloud computing simulation platform CLOUDSIM. In comparison with two algorithms - Min LP and Dijkstra, the model presented in this paper was proved to be effective and more energy-efficient. © 2015 IEEE.",,,20154401482329,7161791.0,"Shi, Shaoling (1, 2); Jing, Zhang (1, 2); Chen, Moliang (1, 2); Hui, Rong (3); Yi, Cui (4); Fu, Xiaodong (1, 2) ","(1) Computer Technology Application Key Lab of Yunnan Province, Kunming University of Science and Technology, Kunming, Yunnan, China (2) Faculty of Information Engineering and Automation, Kunming University of Science and Technology, Kunming, Yunnan, China (3) Faculty of Art and Design, Kunming Metallurgy College, Kunming, Yunnan, China (4) Yunnan Academy of Scientific and Technical Information, Kunming, Yunnan, China ",,,115665.0,"May 23, 2015 - May 25, 2015","Qingdao, China","27th Chinese Control and Decision Conference, CCDC 2015",,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Jing, Zhang ",10.1109/CCDC.2015.7161791,Engineering Village,Compendex,Conference article (CA),,,,9781479970179.0,,,"July 17, 2015",English,,"Proceedings of the 2015 27th Chinese Control and Decision Conference, CCDC 2015",8.0,5568-5572,,2015,Institute of Electrical and Electronics Engineers Inc.,"Proceedings of the 2015 27th Chinese Control and Decision Conference, CCDC 2015",,Network energy consumption analysis and dormancy mechanism based on ant colony algorithm in cloud computing environment for IOT service and real-time embedded industrial control system,,,,
Chem. Eng. J.,"In this work, we present a new, facile and low-cost method to synthesize TiO2-wood charcoal composites photocatalysts (denoted as TiO2-WC) by using the wood tissue as charcoal resources and bio-template. TiO2-WC was prepared by the dip-sol-gel method, which was followed by calcination. The prepared photocatalysts were characterized by X-ray diffraction (XRD), scanning electronic microscopy (SEM), transmission electron microscopy (TEM), N2adsorption/desorption measurement, element analysis and X-ray photoelectron spectroscopy (XPS). The results showed that titania particles of 10-20nm were dispersed on the wood charcoal which had a mimicked wood tissue structure. And the titania in composites was found to be composed of 75-80wt% anatase and 20-25wt% rutile. The mass ratios of wood charcoal in TiO2-WC were 28.20-39.94wt%. The adsorption ability and photocatalytic activity of the prepared TiO2-WC composites were evaluated by the removal ratio of bisphenol A (BPA). The results showed that the prepared TiO2-WC composites had extraordinary adsorption ability for BPA and good photocatalytic activity. The hydrophobic BPA in water can be efficiently removed by adsorption and photocatalytic degradation on TiO2-WC composites synergistically. © 2014.",,,20144700238064,,"Luo, Lijun (1, 2, 3); Yang, Ye (2); Xiao, Ming (1); Bian, Longchun (4); Yuan, Bo (4); Liu, Yongjun (4); Jiang, Fengzhi (1); Pan, Xuejun (2) ","(1) Key Laboratory of Medicinal Chemistry for Natural Resource, Ministry of Education, School of Chemical Science and Technology, Yunnan University, Kunming; 650091, China (2) Faculty of Environmental Science and Engineering, Kunming University of Science and Technology, Kunming; 650093, China (3) The Engineering Laboratory of Polylactic Acid-Based Functional Materials of Yunnan Province, School of Chemistry and Biotechnology, Yunnan MinZu University, Kunming; 650500, China (4) Advanced Analysis and Measurement Center, Yunnan University, Kunming; 650091, China ",CMEJAJ,461.2 Biological Materials and Tissue Engineering - 482.2 Minerals - 524 Solid Fuels - 741.3 Optical Devices and Systems - 802.2 Chemical Reactions - 802.3 Chemical Operations - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products Generally - 811.2 Wood and Wood Products - 812.3 Glass,,,,,Adsorption - Charcoal - Complexation - High resolution transmission electron microscopy - Oxide minerals - Phenols - Photocatalysis - Photocatalysts - Scanning electron microscopy - Sol-gel process - Sol-gels - Tissue - Transmission electron microscopy - Wood - X ray diffraction - X ray photoelectron spectroscopy,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Jiang, Fengzhi ",10.1016/j.cej.2014.10.087,Engineering Village,Compendex,Journal article (JA),,,,,13858947,,"February 05, 2015",English,Titanium dioxide,,60.0,1275-1283,,2015,Elsevier B.V.,Chemical Engineering Journal,,A novel biotemplated synthesis of TiO2/wood charcoal composites for synergistic removal of bisphenol A by adsorption and photocatalytic degradation,,Bis-phenol a - Photo catalytic degradation - Synergistically - TiO2 - Wood charcoal,262,
RSC Adv.,"In the present work, ultrafine Pd clusters with a uniform size of ∼2.0 nm were monodispersed on the surface of reduced graphene oxide (RGO) using a clean and green approach in the absence of additional reductants and surfactants. Disulfide linked β-cyclodextrin dimer (SS-β-CD) was non-covalently bonded to the surface of Pd@RGO. By combining the merits of Pd@RGO and the SS-β-CD, a highly sensitive electrochemical sensing platform was developed based on the SS-β-CD-Pd@RGO nanohybrids. Simultaneous electrochemical detection of baicalin and luteolin using a SS-β-CD-Pd@RGO nanohybrid-modified electrode is described for the first time. The SS-β-CD showed a higher supramolecular recognition capability than the native β-CD, which may be caused by the cooperative binding abilities of two adjacent CD units. Due to the synergistic effects from the Pd@RGO (e.g. good electrochemical properties and large surface area) and SS-β-CD (e.g. hydrophilic external surface, high supramolecular recognition, and good enrichment capability), the SS-β-CD-Pd@RGO modified electrode was found to have linear response ranges of 0.02-20.00 μM for baicalin and 0.01-10.00 μM for luteolin with relatively low detection limits of 0.0052 μM for baicalin and 0.0070 μM for luteolin. The results indicated that SS-β-CD-Pd@RGO nanohybrids are excellent sensing materials for the electrochemical determination of flavonoids. The proposed method could be successfully utilized to detect baicalin and luteolin in serum samples, and has a promising application in practice. © The Royal Society of Chemistry 2015.",,,20153001055884,,"Ran, Xin (1); Yang, Long (1); Zhao, Genfu (1); Ye, Hanzhang (1); Zhang, Yanqiong (1); Fan, Shuangmei (1); Xie, Xiaoguang (1); Zhao, Hui (2); Li, Can-Peng (1) ","(1) School of Chemical Science and Technology, Yunnan University, Kunming; 650091, China (2) Laboratory for Conservation and Utilization of Bio-resource, Yunnan University, Kunming; 650091, China ",RSCACL,547.1 Precious Metals - 761 Nanotechnology - 801 Chemistry - 804 Chemical Products Generally - 804.1 Organic Compounds,,,,,Biochemistry - Chemical detection - Cyclodextrins - Flavonoids - Graphene - Nanostructured materials - Palladium - Sulfur compounds - Supramolecular chemistry,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Xie, Xiaoguang(xgxie@ynu.edu.cn) ",10.1039/c5ra12865j,Engineering Village,Compendex,Journal article (JA),20462069,,,,,75,2015,English,Electrochemical electrodes,,61.0,60775-60785,,2015,Royal Society of Chemistry,RSC Advances,,Simultaneous determination of two flavonoids based on disulfide linked β-cyclodextrin dimer and Pd cluster functionalized graphene-modified electrode,,ELectrochemical detection - Electrochemical determination - Electrochemical sensing - Functionalized graphene - Linear response range - Reduced graphene oxides (RGO) - Simultaneous determinations - Supramolecular recognition,5,
Chem. Eng. Trans.,"With the development of the information technology, the network traffic problem has been more and more attention. The network forecasting problems are related to the control effect of the network traffic. In order to forecast the network traffic better, this paper combines the ant colony algorithm with the grey algorithm and proposes the IAC-GRAY algorithm. The algorithm applies on the optimal grey model parameters of the ant colony algorithm. And it improves the prediction accuracy. The experiment of this paper has achieved the good results. And it shows the effectiveness of the proposed algorithm. Copyright © 2015, AIDIC Servizi S.r.l.",,,20160601888234,,"Song, Han (1); Gan, Luying (1) ","(1) Yunnan Open University, Kunming, Yunnan; 650223, China ",,921.5 Optimization Techniques,,,,,Ant colony optimization,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Song, Han(gavensong8586@163.com) ",10.3303/CET1546217,Engineering Village,Compendex,Journal article (JA),22839216,,,9788895608372.0,,,December 2015,English,Forecasting,,15.0,1297-1302,,2015,Italian Association of Chemical Engineering - AIDIC,Chemical Engineering Transactions,,The research on the prediction of the network traffic based on the improved IAC-GRAY method,,Ant colony algorithms - Forecasting problems - Grey Model - Network traffic - Prediction accuracy,46,
Environ. Ener. Appl. Technol. Proc. Intl. Conf. Frontier Ener. Environ. Eng.,"The researches of location and tracking methods for facial feature point are not good in real-time performance because of the vast number of calculations. In this Paper, an improved method based on Viola-Jones algorithm with Kalman filter prediction mechanism is presented. By using Viola- Jones algorithm to locate the current facial feature point and Kalman filter algorithm to predict the scope where the next feature point will appear, the range of feature point position in the next frame is reduced and as a result the locating time is shorten. Experiments show that with this method the real-time performance and robustness can be improved apparently while ensuring the positioning accuracy. © 2015 Taylor & Francis Group, London.",,,20153801284828,,"Weng, Zheng Kui (1); Wang, Bin (1); Liu, Hui (1) ","(1) Kunming University of Science and Technology, Kunming, Yunnan, China ",,703.2 Electric Filters,113929.0,"December 6, 2014 - December 7, 2014","Taichung, Taiwan","International Conference on Frontier of Energy and Environment Engineering, ICFEEE 2014",Bandpass filters - Forecasting - Location,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,,Engineering Village,Compendex,Conference article (CA),,,,9781138026919.0,,,2015,English,Kalman filters,,7.0,853-856,1 of 1,2015,CRC Press/Balkema,"Environment, Energy and Applied Technology - Proceedings of the 2014 3rd International Conference on Frontier of Energy and Environment Engineering, ICFEEE 2014",Hong Kong Control Engineering and Information Science Research Association; International Frontiers of Science and Technology Research Association,Facial feature point location and tracking method based on improved viola-jones algorithm and kalman filter prediction mechanism,,Facial feature points - Feature point tracking - Kalman filter algorithms - Location and tracking - Positioning accuracy - Prediction mechanisms - Real time performance - Viola - Jones algorithms,,
IEEE Trans Appl Supercond,"Chemical doping is considered as an economic and effective method to enhance the flux pinning properties of high-temperature superconducting materials. However, it is difficult to realize a large doping amount in textured grown bulk superconductors since the doped particles are prone to accumulate and affect the melt-textured growth of the bulk superconductors. In the present work, we introduced nanosized ZrO2particles into the Gd-Ba-Cu-O samples through the external liquid source by infiltration method. A large doping amount of ZrO2particles up to 20 mol% has been realized in finely grown Gd-Ba-Cu-O samples. Improvement in the trapped field has been found for low-level doped samples. The localized microstructure and distribution of the doped particles have been observed by scanning electron microscopy and discussed in this paper. © 2014 IEEE.",,,20150400447332,6907971.0,"Zhou, Difan (1, 2); Izumi, Mitsuru (1); Fujimoto, Takashi (3); Zhang, Yufeng (4); Zhou, Wen Li (4); Xu, Kun (5) ","(1) Laboratory of Applied Physics, Tokyo University of Marine Science and Technology, Tokyo; 135-8533, Japan (2) Department of Maritime Technology, National Institutes of Technology, Yugel College, Ochi-gun; 794-2593, Japan (3) Department of Electronic Mechanical Engineering, National Institutes of Technology, Yuge College, Ochi-gun; 794-2593, Japan (4) Department of Mathematics and Physics, Shanghai University of Electric Power, Shanghai; 200090, China (5) Key Lab. of Yunnan Higher Education Institutes for Advanced Functional and Low Dimensional Material, Qujing Normal University, Qujing; 655011, China ",ITASE9,701.2 Magnetism: Basic Concepts and Phenomena - 708.3 Superconducting Materials - 708.3.1 High Temperature Superconducting Materials - 804.2 Inorganic Compounds,,,,,Barium compounds - Flux pinning - Gadolinium compounds - High temperature superconductors - Organic superconducting materials - Scanning electron microscopy - Zirconia,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/TASC.2014.2359768,Engineering Village,Compendex,Journal article (JA),,,,,10518223,3,"June 1, 2015",English,Copper compounds,,19.0,,,2015,Institute of Electrical and Electronics Engineers Inc.,IEEE Transactions on Applied Superconductivity,,Introducing nanosized pinning centers into bulk Gd-Ba-Cu-O by infiltration method,,Bulk superconductors - Chemical doping - High-temperature superconducting materials - Liquid sources - Melt textured growth - Pinning center - Pinning properties - Trapped field magnet,25,
Environ. Monit. Assess.,"Ecosystem service (ES) relationship occurs due to two types of mechanisms: (1) interact directly or (2) interact through the impact of a shared factor. Identifying such mechanisms behind ES relationship within a single land-use/land-cover category and combining it with a system thinking framework is especially necessary for effective decision-making to manage multiple ESs generated by this land-use/land-cover. In this study, we use tea plantations in China to investigate mechanisms behind ES relationships. We find that tea production is positively correlated with four regulating services (i.e., carbon sequestration, soil N protection, soil P protection, and water conservation). Several regulating services, such as carbon sequestration and soil N, P, and K protection, have positive correlations with each other. Tea production, carbon sequestration, and soil retention are significantly correlated with local annual mean temperature and precipitation. We then establish driver–pressure–state–impact–response (DPSIR) framework for tea plantations, which has been widely used for environmental management issues. Integrating our findings of ES relationship into DPSIR framework, we can estimate how ES change is responding to two types of responses: response to control drivers and response to maintain or restore state. Scenario analysis showed that the responses to control drivers have a larger impact on ES. We discuss that DPSIR would favor managing multiple ES because it enables a more precise understanding of how ES interacts through the effects of factors from various hierarchies. Finally, we suggest integrating ES direct interaction into DPSIR framework. We think such integration could improve the ability of DPSIR framework to support decision-making in multiple ES management, specifically in at least three aspects: (1) favor to identify all possible response alternatives, (2) enable us to evaluate ES which cannot be assessed if without such combining, and (3) help to identify ecological leverage points where small management investment can yield substantial benefits. © 2015, Springer International Publishing Switzerland.",,,20152200888017,,"Xue, Hui (1, 2); Li, Shiyu (3); Chang, Jie (1) ","(1) College of Life Sciences, Zhejiang University, 866 Yuhangtang Road, Hangzhou; Zhejiang; 310058, China (2) International Colleges, Qingdao University, Qingdao; 266061, China (3) Engineering Technology Institute, Yunnan University, Kunming; Yunnan; 650091, China ",EMASDH,403 Urban and Regional Planning and Development - 444 Water Resources - 454 Environmental Engineering - 483.1 Soils and Soil Mechanics - 601.3 Mechanisms - 804 Chemical Products Generally - 912.2 Management - 971 Social Sciences,,,,,Carbon - Decision making - Economics - Environmental management - Land use - Mechanisms - Soil conservation - Soils - Water conservation,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Chang, Jie ",10.1007/s10661-015-4303-2,Engineering Village,Compendex,Journal article (JA),15732959,,,,01676369,3,2015,English,Ecosystems,,44.0,,,2015,Kluwer Academic Publishers,Environmental Monitoring and Assessment,,Combining ecosystem service relationships and DPSIR framework to manage multiple ecosystem services,,Annual mean temperatures - Carbon sequestration - Direct interactions - Dpsir frameworks - Ecosystem services - Positive correlations - Scenario analysis - Single land-use/land-cover,187,
J. Biotechnol.,"Thermostable fusion peptide partners are valuable in engineering thermostability in proteins. We evaluated the Arabidopsis counterpart (AtRAce) and an acidified derivative (mRAce) of the conserved carboxyl extension (RAce) of plant Rubisco activase (RCA) for their thermostabilizing properties in Escherichia coli and Saccharomyces cerevisiae using a protein fusion strategy. We used AtRAce and mRAce as fusion tails for the thermolabile protein RCA2 from Arabidopsis thaliana and Nicotiana tabacum. The homologous fusion of AtRAce with Arabidopsis RCA2 and the heterologous fusion of AtRAce with tobacco RCA2 increased the thermostability of both proteins. The acidified derivative mRAce conferred greater thermostability upon both proteins as compared with AtRAce. Moreover, mRAce enhanced the thermostability of other two thermolabile proteins from Jatropha curcas: the cytosolic ascorbate peroxidase 1 (JcAPX1) and the TATA-box binding protein isoform 1 (JcTBP1). We further report - for the first time - that JcTBP1 mediates heat tolerance in vivo in yeast. Thus, our study identifies a C-terminal acidic mini-peptide - the acidified derivative mRAce - with potential uses in improving the thermostability of heat-labile proteins and their associated heat tolerance in host organisms. © 2015 Elsevier B.V.",,,20153601246420,,"Zhang, Mengru (1); Li, Xujuan (2); Yang, Yumei (1); Luo, Zhu (1); Liu, Chang (1); Gong, Ming (1); Zou, Zhurong (1) ","(1) School of Life Sci., Engineering Research Center of Sustainable Dev., Utilization of Biomass Energy, Ministry of Education, Key Lab. of Biomass Energy, Environmental Biotechnology of Yunnan Province, Yunnan Normal University, Kunming, Yunnan; 650500, China (2) Sugarcane Research Institute, Yunnan Academy of Agricultural Sciences, Yunnan Key Laboratory of Sugarcane Genetic Improvement, Kaiyuan, Yunnan; 661600, China ",JBITD4,461.9 Biology - 822.3 Food Products,,,,,Escherichia coli - Peptides - Yeast,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Gong, Ming(gongming63@163.com) ",10.1016/j.jbiotec.2015.08.021,Engineering Village,Compendex,Journal article (JA),18734863,"Number: 31260064, Acronym: -, Sponsor: -; Number: 31460067, Acronym: -, Sponsor: -; Number: 31160169, Acronym: -, Sponsor: -; ","This work was supported by several grants from the National Foundations of Natural Sciences, China (No. 31260064 to MG, No. 31160169 , 31460067 to ZZ). The authors thank the reviewers for their helpful comments which have improved this article.",,01681656,,"October 20, 2015",English,Stability,,42.0,116-124,,2015,Elsevier B.V.,Journal of Biotechnology,,An acidified thermostabilizing mini-peptide derived from the carboxyl extension of the larger isoform of the plant Rubisco activase,,Ascorbate peroxidase - Hyper-acidic fusion tail - Rubisco activase - Tata box binding proteins - Thermostabilizing,212,
